11,:ls,"/home/gloryi/Pictures/Windows 10 Spotlight/2022-10/Famous Nine arch bridge in Ella, Demodara, Sri Lanka.jpg"
12,:tabm n(pos),"/home/gloryi/Pictures/Windows 10 Spotlight/2022-03/Cricket pitch in the Valley of Rocks near Lynton, Devon, England, UK.jpg"
13,:%s/.*/\u&,"/home/gloryi/Pictures/Windows 10 Spotlight/2021-03/View of the lake from The Rock of Guatape El Peñol, Antioquia, Colombia.jpg"
14,:set autoindent,"/home/gloryi/Pictures/Windows 10 Spotlight/2018-10/Spooky moonrise over lake, super moon at night.jpg"
15,mdf,/home/gloryi/Pictures/FlickrSets/images_6_byhand_to_delete/000244.jpg
16,:g/myname/d,/home/gloryi/Pictures/FlickrSets/images4_to_delete/002804.jpg
17,:bufdo /srcstr/,/home/gloryi/Pictures/FlickrSets/images1_to_delte/001928.jpg
18,gggug,/home/gloryi/Pictures/MovieShots/photo-gallery-2023-01-04-23-23-33/18 (1051).jpg
19,ctrl-w|,/home/gloryi/Pictures/FlickrSets/images4_to_delete/002606.jpg
20,del,/home/gloryi/Pictures/Windows 10 Spotlight/2019-12/An illuminated Christmas Tree next to a shopping mall in Singapore.jpg
jianq,降绛,絳洚,降绛,/home/gloryi/Pictures/MovieShots/photo-gallery-2023-01-04-23-19-54/52 (1245).jpg
shyh,柿铈,鈰柿,铈鈰,"/home/gloryi/Pictures/Windows 10 Spotlight/2018-05/Surface of frozen lake Baikal winter view, Russia.jpg"
hann,悍捍,焊銲,悍捍,"/home/gloryi/Pictures/Windows 10 Spotlight/2017-11/The Bandra-Worli Sea Link bridge, Mumbai, India.jpg"
gou,够夠,狗苟,笱枸,/home/gloryi/Pictures/MovieShots/photo-gallery-2023-01-04-23-53-14/56 (856).jpg
ou,欧鸥,殴沤,讴瓯,"/home/gloryi/Pictures/Windows 10 Spotlight/2022-09/View on the peak mountain, Maupiti island near Bora Bora, French Polynesia.jpg"
feng,風瘋,楓風,瘋楓,"/home/gloryi/Pictures/Windows 10 Spotlight/2020-07/Thufa hill with a fishing shed on top near Reykjavik harbor, Iceland.jpg"
shieh,蟹懈,邂獬,廨蟹,/home/gloryi/Pictures/MovieShots/photo-gallery-2023-01-04-23-45-06/53 (914).jpg
piaw,飘飄,漂瞟,嫖瓢,"/home/gloryi/Pictures/Windows 10 Spotlight/2020-09/Ursa Beach at the coast of Sintra, Portugal.jpg"
tyng,停婷,葶停,婷葶,/home/gloryi/Pictures/MovieShots/photo-gallery-2023-01-04-23-32-42/58 (986).jpg
erl,而鸸,鴯而,鸸鴯,/home/gloryi/Pictures/MovieShots/photo-gallery-2023-01-04-23-22-30/34 (821).jpg
bih,秘毖,邲閟,铋鉍,/home/gloryi/Pictures/MovieShots/photo-gallery-2023-01-04-23-32-19/40 (293).jpg
shan,讪訕,汕疝,讪訕,/home/gloryi/Pictures/MovieShots/photo-gallery-2023-01-04-23-30-28/15 (340).jpg
niann,捻鲶,鯰捻,鲶鯰,/home/gloryi/Pictures/OldPhotos/Summer_2014/20130709_143101.jpg
fuu,辅輔,脯黼,郙辅,"/home/gloryi/Pictures/Windows 10 Spotlight/2017-12/Lion cub resting on tree branch, South Luangwa National Park, Zambia.jpg"
jaang,张帐,涨账,胀张,"/home/gloryi/Pictures/Windows 10 Spotlight/2016-10/Burgh Island from Bantham, Bigbury-on-Sea, Devon, England, UK.jpg"
bii,比吡,妣秕,比吡,/home/gloryi/Pictures/MovieShots/photo-gallery-2023-01-04-23-50-43/41 (1191).jpg
jya,頰郟,莢蛺,鋏頰,"/home/gloryi/Pictures/Windows 10 Spotlight/2022-07/Matsumio bridge and trees, Mikuni Pass, Daisetsuzan National Park, Hokkaido, Japan.jpg"
wei,围圍,涠潿,围圍,/home/gloryi/Pictures/MovieShots/photo-gallery-2023-01-04-23-44-33/01 (948).jpg
ya,呀雅,讶訝,鸦鴉,/home/gloryi/Pictures/Windows 10 Spotlight/2018-02/Solar eclipse illustration.jpg
jiau,礁蕉,鹪鷦,僬蟭,"/home/gloryi/Pictures/Windows 10 Spotlight/2018-01/Fly over Mount McKinley, Denali, Alaska, USA.jpg"
垂,hand,down,let down,suspend,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/696.jpg
脉,veins,arteries,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/2178.jpg
狱,jail,case,prison,lawsuit,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/735.jpg
惑,doubt,confuse,baffle,mislead,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/2192.jpg
陶,pottery,ceramics,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/1041.jpg
兽,beast,animal,bestial,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/705.jpg
帐,tent,screen,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/116.jpg
昌,good,proper,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/1825.jpg
铺,shop,bed,store,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/1184.jpg
惧,fear,dread,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/249.jpg
盗,rob,steal,thief,bandit,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/586.jpg
辉,luster,brightness,brilliance,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/1521.jpg
扣,rap,tap,knock,strike,button,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/2041.jpg
董,direct,surname,supervise,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/2266.jpg
迁,move,shift,change,transfer,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/630.jpg
愉,please,pleasant,delightful,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/2361.jpg
慕,desire,admire,long for,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/298.jpg
塑,sculpt,plastics,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/2117.jpg
羞,shy,shame,disgrace,ashamed,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/1659.jpg
谅,excuse,guess,forgive,presume,/mnt/X/WORKSHOP/Scripts/chained_learning/images_for_learn/1028.jpg
